Algorithm,Avg_Wait_Time,Requests_Served,Efficiency_Score
SCAN,1099.3333333333333,3.0,0.00832519436853679
LOOK,714.6666666666666,3.0,0.01310620306625758
MYLIFT,552.0,3.0,0.015375681514622914
