Algorithm,Avg_Wait_Time,Requests_Served,Efficiency_Score
SCAN,1099.3333333333333,95.0,0.09190171313674117
LOOK,714.6666666666666,95.0,0.14737363317924657
MYLIFT,538.6666666666666,95.0,0.1804922542630819
